id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
2;7;WALK;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T084800;20181029T085416;0;0;420;0;376;;;2.39206;48.81416;;7 Rue Denis Papin (Ivry-sur-Seine);2.39206;48.81416;False;;;;
3;1;CAR;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;20181029T080342;20181029T081900;0;0;14702;0;918;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
3;2;RAIL;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;20181029T081900;20181029T082600;0;0;4088;0;420;stop_point:8739365:800:C;GARE DE PETIT VAUX (Épinay-sur-Orge);2.333249;48.676381;stop_point:8754524:800:C;GARE DE JUVISY (Juvisy-sur-Orge);2.333249;48.676381;True;C;RER;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE (Versailles)
3;3;WALK;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;20181029T082600;20181029T083600;0;0;0;0;600;;;;;;;;;;;;;
3;4;RAIL;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;20181029T083600;20181029T084900;0;0;14290;0;780;stop_point:8754524:800:C;GARE DE JUVISY (Juvisy-sur-Orge);2.383139;48.689457;stop_point:8754530:800:C;GARE D'IVRY SUR SEINE (Ivry-sur-Seine);2.383139;48.689457;True;C;RER;GARE DE CHAVILLE VELIZY;GARE DE CHAVILLE VELIZY (Viroflay)
3;5;WALK;20181029T080000;20181029T080342;20181029T085516;2.19375;48.71342;2.39639;48.81410;20181029T084900;20181029T085516;0;0;420;0;376;;;2.39206;48.81416;;7 Rue Denis Papin (Ivry-sur-Seine);2.39206;48.81416;False;;;;
4;1;CAR;20181029T080000;20181029T082723;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T082723;20181029T084200;0;0;13382;0;877;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
4;2;RAIL;20181029T080000;20181029T082723;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T084200;20181029T091200;0;0;19441;0;1800;stop_point:8738328:800:C;GARE DE MASSY VERRIERES RER C (Massy);2.273483;48.734717;stop_point:8754530:800:C;GARE D'IVRY SUR SEINE (Ivry-sur-Seine);2.273483;48.734717;True;C;RER;GARE DE PONTOISE;GARE DE PONTOISE (Pontoise)
4;3;WALK;20181029T080000;20181029T082723;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T091200;20181029T091816;0;0;420;0;376;;;2.39206;48.81416;;7 Rue Denis Papin (Ivry-sur-Seine);2.39206;48.81416;False;;;;
5;1;CAR;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T082109;20181029T082700;0;0;2076;0;351;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
5;2;RAIL;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T082700;20181029T083300;0;0;4283;0;360;stop_point:8775882:810:B;GARE DE LOZERE (Palaiseau);2.212262;48.705969;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.212262;48.705969;True;B;RER;GARE DE LA PLAINE STADE DE FRANCE;GARE DE LA PLAINE STADE DE FRANCE (Saint-Denis)
5;3;WALK;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083300;20181029T083732;0;0;0;0;272;stop_point:8775879:810:B;GARE DE MASSY PALAISEAU RER B (Massy);2.258966;48.724309;stop_point:8739357:800:C;GARE DE MASSY PALAISEAU RER C (Massy);2.258966;48.724309;False;;;;
5;4;WALK;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083732;20181029T084000;0;0;0;0;148;;;;;;;;;;;;;
5;5;RAIL;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T084000;20181029T091200;0;0;21029;0;1920;stop_point:8739357:800:C;GARE DE MASSY PALAISEAU RER C (Massy);2.257355;48.725198;stop_point:8754530:800:C;GARE D'IVRY SUR SEINE (Ivry-sur-Seine);2.257355;48.725198;True;C;RER;GARE DE PONTOISE;GARE DE PONTOISE (Pontoise)
5;6;WALK;20181029T080000;20181029T082109;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T091200;20181029T091816;0;0;420;0;376;;;2.39206;48.81416;;7 Rue Denis Papin (Ivry-sur-Seine);2.39206;48.81416;False;;;;
6;1;CAR;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T082007;20181029T083000;0;0;10318;0;593;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
6;2;RAIL;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083000;20181029T083400;0;0;2554;0;240;stop_point:8739356:800:C;GARE D'IGNY (Igny);2.230961;48.740182;stop_point:8739357:800:C;GARE DE MASSY PALAISEAU RER C (Massy);2.230961;48.740182;True;C;RER;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE (Versailles)
6;3;WALK;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083400;20181029T084000;0;0;0;0;360;;;;;;;;;;;;;
6;4;RAIL;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T084000;20181029T091200;0;0;21029;0;1920;stop_point:8739357:800:C;GARE DE MASSY PALAISEAU RER C (Massy);2.257355;48.725198;stop_point:8754530:800:C;GARE D'IVRY SUR SEINE (Ivry-sur-Seine);2.257355;48.725198;True;C;RER;GARE DE PONTOISE;GARE DE PONTOISE (Pontoise)
6;5;WALK;20181029T080000;20181029T082007;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T091200;20181029T091816;0;0;420;0;376;;;2.39206;48.81416;;7 Rue Denis Papin (Ivry-sur-Seine);2.39206;48.81416;False;;;;
7;1;CAR;20181029T080000;20181029T081943;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T081943;20181029T082200;0;0;912;0;137;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
7;2;BUS;20181029T080000;20181029T081943;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T082200;20181029T083400;0;0;4732;0;720;stop_point:56:11741;Polytechnique Laboratoire (Palaiseau);2.204951;48.712562;stop_point:56:10104;GARE MASSY PALAISEAU (Massy);2.204951;48.712562;True;EXPRESS 91-06;Albatrans;GARE MASSY PALAISEAU;GARE MASSY PALAISEAU (Massy)
7;3;WALK;20181029T080000;20181029T081943;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083400;20181029T083936;0;0;0;0;336;stop_point:56:10104;GARE MASSY PALAISEAU (Massy);2.258206;48.723368;stop_point:8739357:800:C;GARE DE MASSY PALAISEAU RER C (Massy);2.258206;48.723368;False;;;;
7;4;WALK;20181029T080000;20181029T081943;20181029T091816;2.19375;48.71342;2.39639;48.81410;20181029T083936;20181029T084000;0;0;0;0;24;;;;;;;;;;;;;
