None;x_origin;y_origin;x_dest;y_dest;id_journey;legMode;transitLeg;legDistance;legDuration
None;;;;;;;<lambda>;legDistance;legDuration
87;2.68684;48.86155;2.3085;48.87465;3;WALK;0;0.078;9.166666666666666
88;2.68684;48.86155;2.3085;48.87465;3;BUS;1;0.853;4.0
89;2.68684;48.86155;2.3085;48.87465;4;CAR;0;12.275;10.316666666666666
90;2.68684;48.86155;2.3085;48.87465;4;RAIL;1;22.807;31.0
91;2.68684;48.86155;2.3085;48.87465;4;WALK;0;0.078;7.166666666666667
92;2.68684;48.86155;2.3085;48.87465;4;BUS;1;0.853;4.0
93;2.0771;48.88684;2.37854;48.82857;1;CAR;0;34.706;36.18333333333333
94;2.0771;48.88684;2.37854;48.82857;2;CAR;0;19.088;15.45
95;2.0771;48.88684;2.37854;48.82857;2;RAIL;1;11.703;14.0
96;2.0771;48.88684;2.37854;48.82857;2;WALK;0;0.423;12.3
97;2.0771;48.88684;2.37854;48.82857;2;SUBWAY;1;2.426;4.0
98;2.0771;48.88684;2.37854;48.82857;3;CAR;0;2.002;4.716666666666667
99;2.0771;48.88684;2.37854;48.82857;3;RAIL;3;24.989;37.0
100;2.0771;48.88684;2.37854;48.82857;3;WALK;0;0.372;15.55
101;2.0771;48.88684;2.37854;48.82857;4;CAR;0;2.002;4.716666666666667
102;2.0771;48.88684;2.37854;48.82857;4;RAIL;1;23.301;33.0
103;2.0771;48.88684;2.37854;48.82857;4;WALK;0;0.146;14.166666666666666
104;2.0771;48.88684;2.37854;48.82857;4;SUBWAY;1;2.426;5.0
105;2.0771;48.88684;2.37854;48.82857;4;BUS;1;0.191;1.0
106;2.0771;48.88684;2.37854;48.82857;5;CAR;0;19.171;15.516666666666667
107;2.0771;48.88684;2.37854;48.82857;5;SUBWAY;1;3.598;6.0
108;2.0771;48.88684;2.37854;48.82857;5;WALK;0;0.372;11.55
109;2.0771;48.88684;2.37854;48.82857;5;RAIL;1;11.946;30.0
110;2.0771;48.88684;2.37854;48.82857;6;CAR;0;2.002;4.716666666666667
111;2.0771;48.88684;2.37854;48.82857;6;RAIL;1;23.301;33.0
112;2.0771;48.88684;2.37854;48.82857;6;WALK;0;0.229;13.416666666666666
113;2.0771;48.88684;2.37854;48.82857;6;BUS;2;3.475;11.0
114;2.0771;48.88684;2.37854;48.82857;7;CAR;0;16.339;22.616666666666667
115;2.0771;48.88684;2.37854;48.82857;7;RAIL;1;19.819;39.0
116;2.0771;48.88684;2.37854;48.82857;7;WALK;0;0.372;5.55
117;2.13478;48.82314;2.35245;48.86291;1;CAR;0;20.833;29.316666666666666
118;2.13478;48.82314;2.35245;48.86291;2;CAR;0;8.59;11.8
119;2.13478;48.82314;2.35245;48.86291;2;SUBWAY;1;8.251;20.0
120;2.13478;48.82314;2.35245;48.86291;2;WALK;0;0.464;15.966666666666667
121;2.13478;48.82314;2.35245;48.86291;2;BUS;1;2.839;22.0
122;2.13478;48.82314;2.35245;48.86291;3;CAR;0;14.478;19.9
123;2.13478;48.82314;2.35245;48.86291;3;BUS;1;7.932;51.0
124;2.13478;48.82314;2.35245;48.86291;3;WALK;0;0.464;6.966666666666667
125;2.13478;48.82314;2.35245;48.86291;4;CAR;0;1.601;4.733333333333333
126;2.13478;48.82314;2.35245;48.86291;4;BUS;2;4.922;21.0
127;2.13478;48.82314;2.35245;48.86291;4;WALK;0;0.196;24.916666666666668
128;2.13478;48.82314;2.35245;48.86291;4;RAIL;1;17.797;34.0
129;2.6532;48.93987;2.3538200000000002;48.86268;1;CAR;0;29.439;47.05
