id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
2;5;BUS;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
2;6;WALK;20181029T180000;20181029T182606;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
3;1;CAR;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181034;20181029T181900;0;0;3563;0;506;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;;2.13478;48.82314;False;;;;
3;2;RAIL;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181900;20181029T183500;0;0;10331;0;960;stop_point:8738226:800:L;GARE DE VAUCRESSON (Vaucresson);2.152697;48.836643;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.152697;48.836643;True;L;TRAIN;GARE ST LAZARE;GARE ST LAZARE (Paris)
3;3;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183500;20181029T183933;0;0;0;0;273;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.237018;48.892187;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;False;;;;
3;4;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183933;20181029T184600;0;0;0;0;387;;;;;;;;;;;;;
3;5;RAIL;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T184600;20181029T192600;0;0;32867;0;2400;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.237018;48.892187;True;A;RER;GARE DE MARNE LA VALLEE CHESSY;GARE DE MARNE LA VALLEE CHESSY (Chessy)
3;6;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T192600;20181029T193035;0;0;0;0;275;stop_point:8775837:810:A;GARE DE TORCY (Torcy);2.65513;48.839646;stop_point:9:1737;GARE DE TORCY (Torcy);2.65513;48.839646;False;;;;
3;7;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193035;20181029T193400;0;0;0;0;205;;;;;;;;;;;;;
3;8;BUS;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T193400;20181029T194500;0;0;4295;0;660;stop_point:9:1737;GARE DE TORCY (Torcy);2.654381;48.83897;stop_point:9:946;PASTEUR (Gouvernes);2.654381;48.83897;True;21;Pep's;GARE DE LAGNY THORIGNY;GARE DE LAGNY THORIGNY (Thorigny-sur-Marne)
3;9;WALK;20181029T180000;20181029T181034;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T194500;20181029T195008;0;0;344;0;308;;;2.69194;48.86046;;Rue des Closeaux (Saint-Thibault-des-Vignes) (Gouvernes);2.69194;48.86046;False;;;;
4;1;CAR;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T180727;20181029T181500;0;0;2598;0;453;;22 Rue Molière (Le Chesnay-Rocquencourt);2.13478;48.82314;;;2.13478;48.82314;False;;;;
4;2;RAIL;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T181500;20181029T183900;0;0;13872;0;1440;stop_point:8738286:800:L;GARE DE VERSAILLES RIVE DROITE (Versailles);2.135087;48.809482;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.135087;48.809482;True;L;TRAIN;GARE ST LAZARE;GARE ST LAZARE (Paris)
4;3;WALK;20181029T180000;20181029T180727;20181029T195008;2.13478;48.82314;2.68684;48.86155;20181029T183900;20181029T184333;0;0;0;0;273;stop_point:8738221:800:L;GARE DE LA DEFENSE (Puteaux);2.237018;48.892187;stop_point:8775801:810:A;GARE DE LA DEFENSE RER A (Puteaux);2.237018;48.892187;False;;;;
